step,episode,mean_reward,policy_loss,value_loss,entropy,entropy_key,entropy_aim
2,8,-0.0193,-0.0001,4.149,14.3858,-1,-1
3,11,-0.0385,-0.0071,4.2877,14.3741,-1,-1
4,15,-0.0446,0.011,3.8784,14.3372,-1,-1
5,18,-0.0337,0.0079,3.3803,14.2953,-1,-1
6,21,-0.034,0.0219,2.0718,14.2583,-1,-1
7,24,-0.0335,0.0086,2.8083,14.2987,-1,-1
8,27,-0.0339,0.0098,5.1268,14.3372,-1,-1
9,29,-0.0195,0.0132,2.7509,14.3048,-1,-1
10,34,-0.0673,0.0171,7.0791,14.3161,-1,-1
11,37,-0.0299,0.0244,2.5369,14.2091,-1,-1
12,40,-0.0339,0.0127,2.5912,14.1212,-1,-1
13,43,-0.0339,0.0169,3.6091,14.0476,-1,-1
15,52,-0.0607,0.0254,5.4328,14.0689,14.2442,-0.1753
16,56,-0.0467,0.0253,2.4913,14.1154,14.3179,-0.2025
17,59,-0.0244,0.0104,1.7744,14.1512,14.3182,-0.1671
18,63,-0.0484,0.017,3.4015,14.0778,14.2527,-0.1749
19,67,-0.0486,0.0201,2.2877,14.0464,14.2254,-0.1789
20,67,0.01,0.0084,0.0208,14.0952,14.2247,-0.1295
21,67,0.01,0.0066,0.1826,13.8044,13.9984,-0.194
22,69,-0.0219,0.0032,1.034,13.9198,14.0946,-0.1748
23,74,-0.0603,0.0398,2.8788,13.9754,14.1547,-0.1793
24,77,-0.0339,0.019,3.272,13.5648,13.788,-0.2232
25,81,-0.0519,0.0368,3.1293,13.852,14.0617,-0.2097
26,87,-0.0746,0.0141,5.7963,13.9427,14.1245,-0.1818
27,91,-0.0486,0.0219,3.6698,13.6722,13.865,-0.1928
28,94,-0.0338,0.021,1.6164,13.5194,13.7104,-0.191
29,96,-0.0204,0.0172,1.3379,13.2261,13.4287,-0.2026
30,100,-0.0475,0.0365,1.7556,13.2831,13.5017,-0.2186
31,103,-0.0339,0.0285,0.8902,12.7761,13.025,-0.2489
32,106,-0.0339,0.024,2.1174,13.5641,13.7989,-0.2349
33,110,-0.0486,0.0321,2.4721,13.3644,13.6333,-0.2689
34,112,-0.0196,0.0186,0.6126,13.3703,13.6317,-0.2614
35,115,-0.0381,0.0078,1.5666,13.2308,13.4788,-0.248
36,120,-0.0574,0.0038,2.3031,13.7191,13.9331,-0.214
37,124,-0.0486,0.0202,3.2272,13.5447,13.7466,-0.2019
38,127,-0.0339,0.0102,1.2998,13.5385,13.7379,-0.1994
39,131,-0.0486,0.0506,2.1299,13.4614,13.6438,-0.1824
40,134,-0.0367,0.021,2.3092,13.4103,13.6068,-0.1965
41,137,-0.034,0.0145,1.255,13.3193,13.539,-0.2196
42,142,-0.0505,0.0279,2.8283,13.1941,13.4338,-0.2397
43,145,-0.0349,0.0282,1.8899,13.5284,13.7268,-0.1983
44,150,-0.0622,0.0284,2.7752,13.5679,13.7472,-0.1793
45,152,-0.0195,0.0232,0.795,13.1223,13.3372,-0.2149
46,158,-0.0578,0.0001,2.8336,13.4478,13.6242,-0.1764
47,161,-0.0339,0.0409,1.6367,13.2332,13.4209,-0.1878
48,165,-0.0499,0.0236,3.3039,13.5357,13.686,-0.1503
49,170,-0.062,0.041,2.7745,13.2943,13.4493,-0.155
50,175,-0.0584,0.0101,3.72,13.1609,13.2898,-0.1289
51,179,-0.0387,0.0332,9.3174,12.5621,12.7286,-0.1665
52,181,-0.0095,0.018,1.5548,13.0615,13.2088,-0.1473
53,187,-0.0777,0.0437,10.2436,13.2529,13.3591,-0.1062
54,189,-0.0032,0.0287,1.8709,12.7727,12.9476,-0.1748
55,195,-0.0779,0.0447,6.2483,13.1676,13.2934,-0.1258
56,199,-0.0486,0.0163,3.7403,12.3879,12.5935,-0.2056
57,202,-0.0339,0.0202,2.5324,12.5684,12.7625,-0.1942
58,207,-0.0661,0.0358,5.4614,13.1285,13.2765,-0.148
59,212,-0.0639,0.0291,4.9264,12.8711,12.9987,-0.1276
60,217,-0.0597,0.0387,4.4056,12.8213,12.9396,-0.1183
61,220,-0.0339,0.0063,1.7787,12.0823,12.2609,-0.1786
62,224,-0.0486,0.028,2.2591,13.1179,13.2415,-0.1236
63,228,-0.0486,0.0268,2.3943,12.8627,12.9933,-0.1306
64,230,-0.0193,0.0239,1.6661,12.6909,12.8578,-0.1669
65,234,-0.0486,0.0003,3.262,12.8305,12.9747,-0.1442
66,236,-0.0193,0.012,0.5713,12.0007,12.1805,-0.1798
67,241,-0.0632,0.0235,4.8896,12.5373,12.7035,-0.1662
68,245,-0.0486,0.0227,3.3271,12.7715,12.8843,-0.1127
69,247,-0.0193,0.0282,0.8676,12.1068,12.2709,-0.1641
70,250,-0.0371,0.022,1.449,12.7397,12.8691,-0.1293
